,name,online_order,book_table,rating,votes,location,rest_type,dish_liked,cuisines,approx_cost,type
41975,Yo! Chow,Yes,Yes,4.4,1810,Marathahalli,Casual Dining,"Noodles, Garlic Butter Noodle, Momos, Chicken Soup, Mocktails, Vanilla Ice Cream, Jasmine Tea","Chinese, Momos",800,NA
41976,Nandhana Palace,No,Yes,4.2,1459,Marathahalli,"Casual Dining, Bar","Biryani, Chicken Kshatriya, Chilli Chicken, Raita, Mutton Fry, Andhra Meal, Bamboo Chicken","Andhra, Biryani, North Indian, Chinese",800,Dine-out
41978,Bufferia,No,Yes,4,362,Marathahalli,"Casual Dining, Bar","Murgh Ghee Roast, Cocktails, Chicken Kebab, Crispy Corn, Mocktails, Pizza, Momos","Asian, Continental, European, Mediterranean",1500,Dine-out
41979,Chulha Chauki Da Dhaba,Yes,No,4.1,426,Marathahalli,Casual Dining,"Punjabi Chicken Masala, Tandoori Chicken, Jal-jeera, Sweet Lassi, Masala Soda, Stuffed Kulcha, Lemon Chicken",North Indian,1000,NA
41980,Chickpet Donne Biryani House,Yes,No,3.7,83,Marathahalli,Casual Dining,"Chicken Biryani, Mutton Biryani","Biryani, South Indian, Fast Food",600,Dine-out
41981,Saffron - Radisson Blu,No,Yes,4.5,457,Marathahalli,"Fine Dining, Bar","Gulab Jamun, Roti, Dahi Ke Kabab, Mocktails, Dumplings, Biryani, Paneer Tikka","North Indian, Mughlai, Lucknowi",2500,Dine-out
41982,Dive,No,Yes,4.3,758,Marathahalli,"Pub, Casual Dining","Mocktails, Cocktails, Rabri, Salads, Malpua, Biryani, Salad","Continental, Finger Food",1300,NA
41984,Suchithra Biryani House,No,No,4,395,Marathahalli,Casual Dining,"Chicken Guntur, Hyderabadi Biryani, Ghee Roast Biryani, Chicken Dum Biryani, Chicken Boneless Biryani, Vegetable Biryani, Raita","Andhra, Biryani, North Indian",500,Dine-out
41985,Xtreme Sports Bar,No,Yes,3.8,53,Marathahalli,Bar,"Cocktails, Mocktails","Continental, North Indian, Chinese, Lebanese",1400,Dine-out
41986,Biriyani Zone,Yes,No,3.8,1819,Marathahalli,Casual Dining,"Chicken Biryani, Masala Prawn, Hyderabadi Biryani, Tandoori Chicken, Kalmi Kebab, Chicken Guntur, Mutton Biryani","Biryani, North Indian, Chinese, Seafood",800,Dine-out
41987,Blue Terrain - Novotel,No,Yes,4.2,515,Marathahalli,Fine Dining,"Mocktails, Cocktails, Burgers, Pizza, Tandoori Salmon, Brownie, Tiramisu","Spanish, Italian, Mediterranean",2000,Dine-out
41988,Plan B,No,No,3.9,49,Marathahalli,"Casual Dining, Pub","Wings, Pizza","Continental, BBQ, Steak",1100,Dine-out
41990,Imperial Restaurant,Yes,No,3.7,494,Marathahalli,Casual Dining,"Mutton Roganjosh, Shawarma, Chicken Biryani, Raita, Chicken Kebab, Tandoori Chicken, Butter Naan","Biryani, Mughlai, Chinese, Arabian",700,Dine-out
41991,Sizzling Pasto,Yes,Yes,4.1,99,Marathahalli,"Casual Dining, Bar","Mocktails, Brownie, Sangria, Cocktail Prawn, Spring Roll, Roti, Ice Cream Sizzler","Continental, Chinese, North Indian",1100,Dine-out
41992,Golkonda Chimney,Yes,Yes,3.5,1824,Marathahalli,Casual Dining,"Paneer Tikka, Carrot Halwa, Rolls, Mutton Biryani, Chilli Chicken, Chicken Manchow Soup, Tom Yum Soup","Biryani, North Indian, Mughlai",850,Dine-out
41993,Matinee Bar & Kitchen,Yes,Yes,4.2,344,Marathahalli,Casual Dining,"Khao Suey, Pizza, Virgin Mojito, Cocktails, Sushi, Fish, Ramen","BBQ, Continental, North Indian, Pizza, European",1700,NA
41994,Anjappaar,No,No,3.9,96,Marathahalli,Casual Dining,Chicken Biryani,"Chettinad, South Indian",650,Dine-out
41995,Amber Rush by The Pool,No,No,3.9,151,Marathahalli,"Bar, Casual Dining","Cocktails, Pasta, Pizza","North Indian, Chinese, Continental",1500,Dine-out
41996,Swathi Deluxe,Yes,Yes,3.9,228,Marathahalli,Casual Dining,"Ghee Roast Mutton, Paneer Tikka Masala, Dum Aloo, Fish, Chilli Chicken, Murgh Ghee Roast, Fried Rice","North Indian, Seafood, Chinese, Biryani",750,Dine-out
41997,Srinathji's,Yes,Yes,3.9,669,Marathahalli,Casual Dining,"Thai Soup, Panneer Butter Masala, Pav Bhaji, Paneer Lajawab, Dahi Papadi Chaat, Butter Naan, Lassi","North Indian, Chinese, Continental, Street Food",750,Dine-out
41998,Sanjha Chulha,Yes,Yes,4,157,Marathahalli,Casual Dining,"Paratha, Vegetable Biryani, Paneer Tikka Masala, Butter Chicken, Dal Makhani, Chicken Biryani, Garlic Naan","North Indian, Pizza, Fast Food",800,Dine-out
41999,Off D' Hook,No,Yes,3.7,88,Marathahalli,Casual Dining,Chicken Guntur,"Continental, Biryani, Pizza, North Indian, Chinese, Momos, Andhra, Kebab",800,Dine-out
42000,Rayalaseema Chefs,Yes,Yes,3.9,231,Marathahalli,Casual Dining,"Bamboo Chicken, Butter Naan, Mutton Biryani, Paneer Pakora, Chicken Pot Biryani, Ulvacharu Biryani, Jowar Roti","North Indian, Biryani, Andhra, Chinese",800,Dine-out
42001,Beijing Bites,Yes,No,3.9,300,Marathahalli,Casual Dining,"Noodles, Chop Suey, Honey Chilli Chicken, Momos, Dragon Chicken, Garlic Chicken, Noodle","Chinese, Thai",850,Dine-out
42002,MealBoInc.,Yes,No,3.9,36,Marathahalli,Casual Dining,"Chaat, Pav Bhaji, Kheer, Aloo Paratha, Rabri, Sweet Lassi",North Indian,800,Dine-out
42003,Potpourri Kitchen,Yes,No,3.7,12,Marathahalli,Casual Dining,NA,"South Indian, Mughlai, North Indian, Beverages",700,Dine-out
42004,Village Restaurant,Yes,No,3.6,348,Marathahalli,Casual Dining,"Naan, Kulcha, Panneer Butter Masala, Appam, Malabari Biryani, Tea, Al Faham Chicken","Arabian, Chinese, Kerala, North Indian, Biryani",1000,Dine-out
42005,Konaseema Kitchen,Yes,Yes,3.8,585,Marathahalli,Casual Dining,"Veg Dum Biryani, Buttermilk, Butter Chicken, Chicken Biryani, Rajugari Kodi Pulao, Tikka, Chicken Curry","North Indian, Biryani, Andhra, South Indian",600,Dine-out
42006,Basmati Bar & Restaurant,Yes,Yes,3.8,345,Marathahalli,Casual Dining,"Bamboo Chicken, Panneer Butter Masala, Chicken Dum Biryani, Paneer Tikka Biryani, Garlic Naan, Ghee Rice, Avakai Chicken Biryani","Biryani, Andhra, North Indian, Chinese",800,Dine-out
42007,Jaffa's Biryani,Yes,No,3.8,434,Marathahalli,Casual Dining,"Mutton Biryani, Fish Biryani, Paneer Biryani, Egg Biryani, Vegetable Biryani, Raita, Hyderabadi Biryani","Biryani, North Indian, Chinese",650,Dine-out
42010,Brunchilly,No,Yes,4,213,Marathahalli,Casual Dining,"Biryani, Pasta, Egg Salad, Nasi Goreng, Fish, Butter Chicken, Paneer Lababdar","North Indian, Continental",1300,Dine-out
42011,Sea Pot,Yes,No,3.5,11,Marathahalli,Casual Dining,NA,"Seafood, North Indian",800,Dine-out
42013,The Dhaba,No,Yes,2.7,444,Marathahalli,Casual Dining,"Paratha, Vegetarian, Makke Ki Roti, Curd Rice, Chicken Biryani, Malai Kofta, Sweet Lassi",North Indian,900,Dine-out
42014,Mani's Dum Biryani,Yes,No,4,284,Marathahalli,Casual Dining,"Raita, Dum Biryani, Chicken Kebab Biryani","Biryani, Andhra",750,Dine-out
42015,A2B - Adyar Ananda Bhavan,Yes,No,2.7,602,Marathahalli,Casual Dining,"Ghee Dosa, Chai, Mysore Pak, Filter Coffee, Vada, Salad, Masala Dosa","South Indian, North Indian, Chinese, Street Food, Fast Food",400,Dine-out
42016,Oogway Express,Yes,No,3.7,19,Marathahalli,Casual Dining,NA,"Chinese, Thai, Momos",600,Dine-out
42018,Chullah Bhatti,Yes,Yes,4,561,Marathahalli,Casual Dining,"Masala Papad, Malai Kofta, Panneer Butter Masala, Fish, Vegetable Biryani, Paneer Tikka, Lassi","North Indian, Chinese",900,Dine-out
42019,Hyderabad Biryaani House,Yes,No,3.7,833,Marathahalli,Casual Dining,"Hyderabadi Style Biryani, Tandoori Chicken, Mutton Biryani, Vegetable Biryani, Dum Biryani, Chicken Boneless Biryani, Lemon Chicken","Biryani, North Indian, Chinese",700,Dine-out
42023,Earthen Bowl,No,No,3.9,90,Marathahalli,Cafe,"Cheesecake, Pizza","Cafe, Italian",700,Dine-out
42025,Malties - Radisson Blu,No,No,4.3,53,Marathahalli,Lounge,"Cocktails, Jumbo Prawns, Charcuterie Platter, Chicken Burger, Chicken Tikka, Shawarma","Continental, Fast Food",4500,Dine-out
42026,Bhagini,No,No,2,259,Marathahalli,Casual Dining,"Naan, Pot Biryani, Chicken Guntur, Paneer Tikka, Tandoori Roti, Thali, Lassi","Andhra, South Indian, Chinese, North Indian",800,Dine-out
42027,Le Jardin By Bhagini,No,No,3.9,92,Marathahalli,Casual Dining,"Biryani, Beer","Continental, Thai, North Indian, Chinese",1000,Dine-out
42028,The Kick-Ass Company Pub & Diner,No,No,3.7,21,Marathahalli,Pub,NA,Finger Food,800,Dine-out
42029,The Bahubali,Yes,Yes,3.4,153,Marathahalli,Casual Dining,"Paratha, Kulcha, Biryani, Dal Makhani","North Indian, Chinese",800,Dine-out
42030,East Delicious,Yes,No,4,501,Marathahalli,Casual Dining,"Noodles, Momos, Chicken Dumplings, Chicken Momo, Chowmein, Honey Chilli Potatoes, Thukpa","Chinese, Thai",600,Dine-out
42031,Biryani & Kabab Corner,No,No,3.7,32,Marathahalli,Casual Dining,NA,"North Indian, Chinese, Biryani, Andhra",450,Dine-out
42034,Moriz Restaurant,Yes,No,3.2,684,Marathahalli,Casual Dining,"Butter Chicken, Shawarma, Chicken Masala, Chicken Shawarama, Chicken Curry, Hot Wings, Butter Naan","Arabian, North Indian, Seafood, Chinese, Biryani",800,NA
42036,SEAPOT,No,No,3.5,8,Marathahalli,Casual Dining,NA,"North Indian, South Indian",600,Dine-out
42037,Cultch Resto Cafe,No,No,3.7,47,Marathahalli,Cafe,NA,Cafe,600,Dine-out
42038,Udupi Vaibhav,No,No,4.1,97,Marathahalli,Casual Dining,"Tea, Filter Coffee, Curd Rice, Cheese Masala Dosa, Idli Vada","Chinese, North Indian, South Indian",400,Dine-out
42040,Bhagini Kitchen And Bar,No,No,3.8,36,Marathahalli,"Casual Dining, Bar",Biryani,"Andhra, South Indian, Chinese, North Indian",1100,Dine-out
42041,Nanda's,Yes,No,3.7,198,Marathahalli,Casual Dining,"Chicken Guntur, Andhra Meal, Hyderabadi Chicken Biryani, Butter Naan, Andhra Thali","Andhra, North Indian, Chinese, Seafood, Biryani",650,Dine-out
42042,Shri Vishnu Grand,Yes,No,3.1,142,Marathahalli,Casual Dining,"Rava Idli, Tea, Coffee, Rava Dosa, Biryani, Masala Dosa, Pav Bhaji","North Indian, South Indian, Chinese",450,Dine-out
42043,Biryani Day,Yes,No,3.8,759,Marathahalli,Casual Dining,"Tandoori Chicken, Chicken Boneless Biryani, Paneer Biryani","North Indian, Chinese, Biryani, Andhra",500,Dine-out
42044,Chai Mania,Yes,No,2.8,67,Marathahalli,Cafe,"Ginger Tea, Poha, Paratha, Chai, Chaai","Cafe, Tea, Beverages",300,Dine-out
42045,The Podium Sports Bar,No,Yes,3.8,28,Marathahalli,Bar,NA,"Pizza, North Indian, Finger Food, Bar Food",1200,Dine-out
42046,Kabab Magic,Yes,No,3,459,Marathahalli,Casual Dining,"Chicken Grill, Shawarma, Biryani, Grape Juice, Rolls, Paratha, Chicken Tikka Roll","North Indian, Kebab, Fast Food",500,Dine-out
42048,Golden Rice,Yes,No,4.2,176,Marathahalli,Casual Dining,"Chicken Masala, Vegetable Biryani, Lassi, Paratha, Butter Naan, Butter Chicken, Veg Platter","North Indian, Mughlai, Seafood, Chinese",1000,Dine-out
42049,Red Stone Kitchen,Yes,No,3.8,94,Marathahalli,Casual Dining,Friendly Staff,"North Indian, Chinese, Seafood",750,Dine-out
42050,Chiller's Nation - Iris Inn,No,No,2.9,27,Marathahalli,Bar,Beer,"North Indian, Continental, Italian",1200,Dine-out
42051,Satakarni,Yes,No,3.1,217,Marathahalli,Casual Dining,Chicken Biryani,"Chinese, South Indian, Andhra, North Indian, Biryani",650,Dine-out
42052,Sri Udupi Park,Yes,No,3.7,231,Marathahalli,Casual Dining,"Benne Dosa, Chaat, Idli Vada, Biryani, Filter Coffee, Cheese Masala Dosa, Paper Plain Dosa","South Indian, North Indian, Chinese, Beverages",500,Dine-out
42053,Infinity Family Restaurant,Yes,No,3.6,46,Marathahalli,Casual Dining,"Biryani, Fried Rice, Tawa Roti","North Indian, Chinese",500,Dine-out
42054,Sangam Sweets,Yes,No,3.1,5,Marathahalli,Sweet Shop,NA,"Mithai, Street Food",200,Dine-out
42055,O2 Juice Bar,Yes,No,3.6,16,Marathahalli,"Beverage Shop, Quick Bites",NA,"Juices, Fast Food",200,Dine-out
42056,Biggies Burger 'n' More,Yes,No,4.1,85,Marathahalli,Cafe,"Burgers, Fries, Coffee, Mojito, Prawn, American Cheese Burger, Mocktails","Cafe, Burger, Fast Food",400,Dine-out
42057,Spice Darbar,No,No,3.9,63,Marathahalli,Casual Dining,Lunch Buffet,"Mughlai, North Indian, Continental",1000,Dine-out
42058,Chai Point,No,No,3.5,8,Marathahalli,"Beverage Shop, Quick Bites",NA,"Beverages, Fast Food",150,Dine-out
42060,Cross Roads Inn,No,No,0,0,Marathahalli,Casual Dining,NA,"North Indian, South Indian, Beverages",800,Dine-out
42061,Jhanhavi Restaurant,Yes,No,3.1,106,Marathahalli,Quick Bites,NA,"North Indian, Chinese, South Indian, Biryani",400,Dine-out
42064,Kingley Grand,Yes,No,3.5,11,Marathahalli,Casual Dining,NA,"Biryani, North Indian, Chinese",600,Dine-out
42065,Maria Taste Circle,Yes,No,3.9,671,Marathahalli,Casual Dining,"Appam, Paratha, Crab Masala, Tea, Mutton Stew, Fish, Chicken Masala","South Indian, North Indian, Kerala, Seafood",450,Dine-out
42066,Five Spice Dining,Yes,No,3.6,56,Marathahalli,Casual Dining,"Biryani, Fried Rice","Chinese, North Indian, South Indian",750,Dine-out
42067,Sankranti,Yes,No,3.6,85,Marathahalli,Casual Dining,NA,Andhra,600,NA
42068,New Milestone Restaurant,Yes,No,3.4,6,Marathahalli,Casual Dining,NA,North Indian,700,Dine-out
42069,The Spice Pavillion,Yes,No,3.7,126,Marathahalli,Casual Dining,"Panneer Butter Masala, Butter Chicken, Tangdi Kabab, Chicken Biryani, Roti, Vegetable Biryani",North Indian,600,Dine-out
42070,Hashtag Kitchen,Yes,No,3.3,46,Marathahalli,Casual Dining,"Ghee Rice, Biryani, Chicken Bharta, Roti","North Indian, Biryani, Chinese",600,NA
42071,The Eatery Cafe & Restaurant,No,No,3.8,60,Marathahalli,Casual Dining,"Burgers, Pasta, Pizza, Chicken Wings, Fries, Salads, Shawarma",Fast Food,800,Dine-out
42072,Malabar Tasty Restaurant,No,No,3,8,Marathahalli,Casual Dining,NA,"Kerala, North Indian, Chinese, South Indian",450,Dine-out
42073,The Restaurant,No,Yes,3.7,32,Marathahalli,Casual Dining,NA,"Continental, Burger, South Indian, Sandwich, Italian, Pizza, North Indian, Chinese",1200,Dine-out
42074,Master Chifoo,Yes,No,3.9,56,Marathahalli,Casual Dining,Momos,"Chinese, Thai, Momos",800,Dine-out
42075,Cafe Coffee Day,Yes,No,2.9,12,Marathahalli,Cafe,NA,"Cafe, Fast Food",900,Dine-out
42076,Chaai Resto,Yes,No,3.4,5,Marathahalli,"Beverage Shop, Quick Bites",NA,"Tea, Beverages, Fast Food",250,Dine-out
42077,Pelican,No,No,3.4,20,Marathahalli,"Pub, Casual Dining",NA,"North Indian, Chinese",1200,Dine-out
42078,Mayuri Multicuisine Restaurant,No,No,3.6,12,Marathahalli,Casual Dining,NA,North Indian,500,Dine-out
42079,The Mint Resto Bar,No,Yes,2.6,62,Marathahalli,"Casual Dining, Bar",Prompt Service,"North Indian, Chinese, Andhra",1000,Dine-out
42080,Sai Santhi Cafe,Yes,No,3.8,69,Marathahalli,Quick Bites,"Vada, Set Dosa, Thali, Masala Dosa, Roti, Idli","South Indian, North Indian, Chinese",400,Dine-out
42081,Curry Chutney,No,No,3,20,Marathahalli,Quick Bites,NA,"North Indian, South Indian, Chinese",400,Dine-out
42082,Midnight Food Point,Yes,No,2.6,492,Marathahalli,NA,"Biryani, Chicken Noodle, Butter Naan, Fried Rice Chicken, Chicken Manchurian, Noodles, Paratha","North Indian, Chinese, Mughlai, Biryani",500,NA
42083,Palar Restaurant,No,No,3.7,20,Marathahalli,Casual Dining,NA,"Andhra, North Indian",700,Dine-out
42084,Indian Paratha Company,No,No,3.5,28,Marathahalli,Casual Dining,NA,North Indian,500,Dine-out
42085,Hyderabadi Biryani Hub,Yes,No,2.9,103,Marathahalli,Casual Dining,NA,"Biryani, North Indian, Chinese",600,Dine-out
42086,The Big Grill,No,No,3.4,9,Marathahalli,Quick Bites,NA,"North Indian, Chinese, Mughlai",400,Dine-out
42087,Nawabi Zaica,Yes,No,3.5,21,Marathahalli,Casual Dining,NA,"North Indian, Mughlai, Chinese",600,Dine-out
42088,@ Biryani Central,Yes,No,2.7,135,Marathahalli,Casual Dining,"Hyderabadi Biryani, Mutton Biryani, Dal Fry","Biryani, Mughlai, Chinese",550,Dine-out
42089,Wok With Chung,No,No,3.8,690,Marathahalli,Casual Dining,"Noodles, Drunken Chicken Wings, Chicken Satay, Golden Fried Prawns, Mushroom Manchurian, Spring Roll, Chop Suey","Chinese, Thai",1000,Dine-out
42090,Spicy Andhra,Yes,No,2.9,22,Marathahalli,Casual Dining,NA,"Andhra, North Indian, Chinese",600,Dine-out
42091,Deccan Kitchen,Yes,No,3.6,31,Marathahalli,Casual Dining,NA,"South Indian, North Indian",700,Dine-out
42092,Mast Biryani - Fresh Indian Kitchen,No,No,3.5,254,Marathahalli,Casual Dining,"Rabri, Peri Peri Chicken, Phirni, Vegetable Biryani, Nizami Biryani, Rice, Butter Chicken Biryani","Biryani, North Indian, Mughlai, Fast Food",500,NA
42093,Bharatkhana,No,No,3.4,6,Marathahalli,Casual Dining,NA,"North Indian, Bengali, Chinese, Beverages",500,Dine-out
42094,Coffee Mug Cafe,No,No,3.7,23,Marathahalli,Cafe,NA,"Cafe, Chinese, North Indian, Fast Food",400,Dine-out
42095,Aaha Andhra,No,No,3.4,58,Marathahalli,Casual Dining,NA,"Andhra, Biryani, North Indian",900,Dine-out
42096,Hotel Sapthagiri,Yes,No,3.6,13,Marathahalli,Casual Dining,NA,"Andhra, North Indian, Chinese",700,Dine-out
42097,UBCR,No,No,3.5,9,Marathahalli,Cafe,NA,"Italian, American, Chinese, Arabian, North Indian, Cafe",1000,Dine-out
42098,Lemon - The Lounge Bar,No,No,3.1,12,Marathahalli,Casual Dining,NA,"North Indian, Biryani, Chinese",800,Dine-out
42099,Home Food Punjabi Dhabha,No,No,3.1,6,Marathahalli,Quick Bites,NA,"North Indian, Chinese",350,Dine-out
42100,Tintin Da Dhaba,No,No,3.4,7,Marathahalli,Casual Dining,NA,North Indian,500,Dine-out
42101,Balaji Abhiruchi Multicuisine Restaurant,No,No,3.4,27,Marathahalli,Casual Dining,NA,"South Indian, North Indian, Chinese",550,Dine-out
42102,Owl's Kitchen,No,No,2.6,100,Marathahalli,NA,"Gulab Jamun, Noodles, Chicken Rara, Butter Naan","North Indian, Chinese",500,Dine-out
42103,Pizza Home,No,No,2.9,59,Marathahalli,Cafe,NA,"Cafe, Pizza, Continental, South Indian",600,Dine-out
42105,Ginger Mint,Yes,No,3,5,Marathahalli,Casual Dining,NA,"North Indian, South Indian, Chinese",600,Dine-out
42106,Romy's Kitchen,Yes,No,3.1,4,Marathahalli,Casual Dining,NA,"North Indian, Chinese, Italian",450,Dine-out
42108,Speedy Chow,Yes,No,3.5,6,Marathahalli,Casual Dining,NA,Chinese,600,Dine-out
42109,Rawalpindi Express,No,No,3.4,4,Marathahalli,Quick Bites,NA,North Indian,300,Dine-out
42110,Utopia,No,No,2.8,59,Marathahalli,Casual Dining,NA,"North Indian, Chinese",550,NA
42111,Mandya Naati Style Hotel,No,No,3.3,4,Marathahalli,Quick Bites,NA,South Indian,300,Dine-out
42112,Kofabell,No,No,3.2,4,Marathahalli,Casual Dining,NA,North Indian,500,Dine-out
42113,Godhavari,No,No,3.3,4,Marathahalli,Casual Dining,NA,"Seafood, Andhra",1000,Dine-out
42114,Alankar Restaurant,No,No,0,0,Marathahalli,Casual Dining,NA,"South Indian, North Indian, Chinese",800,Dine-out
42115,Chattorey - The Family Restaurant,No,No,3.4,37,Marathahalli,Quick Bites,NA,"North Indian, Chinese, South Indian, Rolls",400,Dine-out
42116,Sindhuri Restaurant,Yes,No,3.1,19,Marathahalli,Casual Dining,NA,"Chinese, North Indian, Biryani",600,Dine-out
42117,Central Cafe,Yes,No,3.2,4,Marathahalli,"Beverage Shop, Quick Bites",NA,"Beverages, Fast Food",300,Dine-out
42119,Canopus Multicuisine Restaurant,Yes,No,0,0,Marathahalli,Casual Dining,NA,"North Indian, Seafood, Biryani, Chinese",800,Dine-out
42120,Rayalseema Kitchens,Yes,No,3.6,38,Marathahalli,Casual Dining,NA,"Andhra, North Indian, Biryani",700,Dine-out
42121,Bageecha,Yes,No,2.1,479,Marathahalli,Casual Dining,"Schezwan Chicken, Butter Chicken, Beer, Onion Pakoda, Tandoori Chicken, Dal Makhani, Lemon Chicken","North Indian, Chinese",650,NA
42122,Dakshin Spice,Yes,Yes,3.8,384,Marathahalli,Casual Dining,"Mutton Keema Biryani, Panneer Butter Masala, Pot Biryani, Vegetable Biryani, Thali, Dal Makhani, Tangdi Kabab","South Indian, North Indian, Chinese, Biryani",800,Dine-out
42123,Pizza Hut,Yes,No,2.8,148,Marathahalli,Quick Bites,"Garlic Bread, Veggie Pizza","Pizza, Fast Food",750,Dine-out
42124,New Tandoori Point,No,No,2.4,58,Marathahalli,Casual Dining,"Biryani, Tandoori Chicken","North Indian, Chinese",600,Dine-out
42125,The Bawarchi,Yes,No,2.6,346,Marathahalli,Casual Dining,"Hyderabadi Biryani, Roti, Chicken Dum Biryani, Pepper Chicken, Chicken Masala, Gongura Chicken, Veg Platter","Hyderabadi, North Indian, Chinese, Biryani",700,Dine-out
42126,Hyderabad Dawat,Yes,No,3.4,31,Marathahalli,Casual Dining,NA,"Biryani, Hyderabadi",650,Dine-out
42127,Lassi Corner,Yes,No,3.3,71,Marathahalli,"Beverage Shop, Quick Bites","Sandwiches, Lassi, Berry Delight, Faluda, Oreo Shake","Beverages, Sandwich",250,Dine-out
42128,Mirchi Bites- Spice Heaven,Yes,No,3.1,9,Marathahalli,Casual Dining,NA,"Hyderabadi, Biryani",650,Dine-out
42129,Damodar Seth,Yes,No,3.2,155,Marathahalli,Casual Dining,"Thali, Fish Fry, Alur Dom, Aalo Bhaja","Bengali, Chinese, North Indian",600,Dine-out
42148,Wangs Kitchen,Yes,No,3,384,Marathahalli,Casual Dining,"Noodles, Spring Roll, Kung Pao Chicken, Lamb, Sweet Corn Soup, Fish, Manchow Soup",Chinese,1000,Dine-out
42149,Daniyal's,Yes,No,3.5,180,Marathahalli,Casual Dining,"Phirni, Chicken Chaap, Mutton Biryani, Paratha","North Indian, Biryani, Mughlai, Kebab",800,Dine-out
42152,Nakkala's Food Hunt,Yes,No,2.4,135,Marathahalli,Casual Dining,Biryani,"North Indian, Chinese",600,Dine-out
42153,Madhuban Restaurant,No,No,0,0,Marathahalli,Casual Dining,NA,"Bengali, Continental, Fast Food, North Indian, Seafood",500,Dine-out
42175,Puchkas,Yes,No,4.1,685,Marathahalli,Quick Bites,"Chaat, Panipuri, Jalebi, Vada Pav, Samosa, Chole Bhature, Gol Gappe","Street Food, North Indian",200,Dine-out
42176,Suvai Factory,Yes,Yes,3.7,20,Marathahalli,Casual Dining,NA,"North Indian, South Indian, Chinese",600,Dine-out
42177,Kaafi Desi,Yes,No,4,528,Marathahalli,Quick Bites,"Samosa, Jalebi, Rasmalai, Poha, Aloo Poori, Panipuri, Aloo Sabji","North Indian, Street Food",150,Dine-out
42178,Domino's Pizza,Yes,No,3.9,262,Marathahalli,Quick Bites,"Pizza, Peppy Paneer","Pizza, Fast Food",400,Dine-out
42179,KFC,Yes,No,3.9,536,Marathahalli,Quick Bites,Crispy Chicken,"Burger, Fast Food",450,Dine-out
42180,Chatpatlal Sweets & Snacks,Yes,No,4.2,337,Marathahalli,"Quick Bites, Sweet Shop","Chaat, Ginger Tea, Club Kachori, Samosa, Aloo Paratha, Dhokla, Thali","Street Food, Mithai, North Indian, Beverages, Desserts",200,Dine-out
42181,The Yummy Box,Yes,No,3.8,28,Marathahalli,Quick Bites,NA,"North Indian, Chinese",200,Dine-out
42183,Best Of Bengal,Yes,No,3.8,232,Marathahalli,Quick Bites,"Gulab Jamun, Thali, Salad",Bengali,300,Dine-out
42184,Punjabi Twist,Yes,No,4.2,220,Marathahalli,Quick Bites,"Mutton Thali, Salad, Palak Paneer, Chicken Curry, Butter Chicken, Buttermilk, Shahi Paneer",North Indian,300,Dine-out
42185,Aahar Vihar,Yes,No,4,73,Marathahalli,Quick Bites,"Mutton Curry, Aloo Paratha",North Indian,250,Dine-out
42187,Tandoori Junction,Yes,No,4,97,Marathahalli,Quick Bites,Tandoori Chicken,"North Indian, Chinese, Biryani",400,Dine-out
42189,Chatora,Yes,No,3.4,115,Marathahalli,"Takeaway, Delivery","Chole Bhature, Paratha, Veg Thali, Poori Bhaji, Chaat, Chhole Bhature","North Indian, Fast Food, Street Food",300,Dine-out
42191,Spicy House,Yes,No,3.7,97,Marathahalli,Quick Bites,"Biryani, Raita","North Indian, Chinese, Seafood, Biryani",500,Dine-out
42192,Raj Donne Biriyani,Yes,No,3.5,17,Marathahalli,Quick Bites,NA,"South Indian, Biryani",450,Dine-out
42194,Delight food,Yes,No,3.1,8,Marathahalli,Quick Bites,NA,"North Indian, South Indian",250,Dine-out
42196,Daily Sushi,Yes,No,3.6,18,Marathahalli,Quick Bites,NA,"Korean, Sushi",900,Dine-out
42197,Biryani Mane,Yes,No,3.6,66,Marathahalli,Quick Bites,"Vegetable Biryani, Chicken Biryani, Chicken Kebab, Mutton Biryani","North Indian, Biryani",600,Dine-out
42198,Aashirvaad Restaurant,Yes,No,3.1,253,Marathahalli,Quick Bites,NA,"North Indian, Oriya, Chinese",300,Dine-out
42199,Lassi Bistro,No,No,3.6,11,Marathahalli,Quick Bites,NA,"Cafe, Fast Food, Beverages",150,Dine-out
42200,New Food Magic,Yes,No,3.7,114,Marathahalli,Quick Bites,"Biryani, Paratha","North Indian, Chinese, Biryani",400,Dine-out
42202,Kabab Mirchi,No,No,3.6,104,Marathahalli,Quick Bites,"Chicken Grill, Rose Milk, Pulpy Grape Juice, Shawarma Roll, Chicken Wings, Rolls, Butter Chicken","North Indian, Mughlai, Chinese",350,NA
42203,RPS Food Corner,Yes,No,3.3,7,Marathahalli,Quick Bites,NA,"North Indian, Chinese, Bengali, Biryani",400,Dine-out
42205,Odisha Platter,Yes,No,3.8,295,Marathahalli,Quick Bites,"Mutton Curry, Veg Thali",Oriya,350,Dine-out
42207,Bangaliana,Yes,No,3.6,131,Marathahalli,Quick Bites,"Rasgulla, Mutton Kosha, Luchi, Fish Cutlet, Aloo Posto, Alur Dom, Thali",Bengali,600,Dine-out
42208,The Grains,Yes,No,3.6,13,Marathahalli,Quick Bites,NA,"South Indian, North Indian, Chinese",300,Dine-out
42209,Eat Eroo - South China,Yes,No,3.8,370,Marathahalli,Quick Bites,"Dabeli, Veg Manchow Soup, Momos, Hakka Noodles, Egg Roll, Rolls, Dragon Chicken","South Indian, Chinese",350,Dine-out
